,번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
253,254,099410,동방선기,33101,선박 및 보트 건조업,"13,541,002","6,770,501,000",500,원(KRW),055-545-0882,경상남도 창원시 진해구 명제로 73 ,1424
254,255,033500,동성화인텍,32001,기초 화학물질 제조업,"26,983,609","13,821,804,500",500,원(KRW),02-6190-8500,부산광역시 사하구 신산로 99 - ,1424
255,256,025950,동신건설,64102,토목 건설업,"8,400,000","4,200,000,000",500,원(KRW),053 -756 -7701,경상북도 안동시  서동문로 217 ,1424
256,257,088130,동아엘텍,32902,특수 목적용 기계 제조업,"10,662,938","5,575,148,000",500,원(KRW),031-345-1500,경기도 안양시 동안구 시민대로327번길 12-24 (주)동아엘텍 빌딩 ,1424
257,258,041930,동아화성,32201,고무제품 제조업,"15,800,000","8,000,000,000",500,원(KRW),055)313 - 1800,경상남도 김해시  유하로 154-9 ,1424
258,259,060380,동양에스텍,32401,1차 철강 제조업,"10,000,000","5,000,000,000",500,원(KRW),042-221-6900,대전광역시 중구 중앙로 164번길 20(은행동) 동양빌딩 4층,1424
259,260,079960,동양이엔피,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","7,860,000","3,930,000,000",500,원(KRW),(031)236-1511,경기도 평택시 진위면 진위산단로 76 ,1424
260,261,228340,동양파일,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업","20,000,000","10,000,000,000",500,원(KRW),02-3770-3157,충청남도 아산시 염치읍 아산온천로 16-127 ,1424
261,262,088910,동우팜투테이블,31001,"도축, 육류 가공 및 저장 처리업","25,831,764","12,915,882,000",500,원(KRW),063-450-2000,전라북도 군산시  서수면 동군산로 1095 주식회사 동우 ,1424
262,263,094170,동운아나텍,32601,반도체 제조업,"15,758,872","8,075,619,000",500,원(KRW),02-3465-8765,"서울특별시 서초구 남부순환로 2351, 아리랑타워 9층",1424
263,264,013120,동원개발,64101,건물 건설업,"90,808,100","45,404,050,000",500,원(KRW),051 -645 -3113,"부산광역시 수영구 수영로 754 동원빌딩 (민락동,센텀비스타동원)",1424
264,265,109860,동일금속,32403,금속 주조업,"7,000,000","3,500,000,000",500,원(KRW),054-333-5501,경북 영천시 금호읍 덕성리 327,1424
265,266,032960,동일기연,32602,전자부품 제조업,"3,407,309","4,953,654,500",500,원(KRW),031 -356 -7114,경기도 화성시  남양로930번길 28 동일기연,1424
266,267,023790,동일철강,32401,1차 철강 제조업,"7,345,085","3,672,542,500",500,원(KRW),051 -316 -5341,부산 북구 학장동 716-1 ,1424
267,268,005290,동진쎄미켐,32001,기초 화학물질 제조업,"51,414,494","25,707,247,000",500,원(KRW),02-325-9451,인천광역시 서구  백범로 644 ,1424
268,269,025900,동화기업,31602,나무제품 제조업,"20,198,382","10,599,191,000",500,원(KRW),02-2122-0651,인천광역시 서구 가정로97번길 28(가좌동) ,1424
269,270,073190,듀오백,33201,가구 제조업,"11,968,040","5,984,020,000",500,원(KRW),032-816-4814,인천 서구 가좌동 543-2 ,1424
270,271,030350,드래곤플라이,105802,소프트웨어 개발 및 공급업,"16,008,491","8,004,245,500",500,원(KRW),02-522-9393,서울특별시 서초구 서초중앙로22길 80 (서초동),1424
271,272,203650,드림시큐리티,105802,소프트웨어 개발 및 공급업,"50,605,754","5,060,575,400",100,원(KRW),02-2233-5533,"서울특별시 송파구 중대로8길 8 3층, 5층, 6층, 7층 (문정동, 서경빌딩)",1424
272,273,223250,드림씨아이에스,137001,자연과학 및 공학 연구개발업,"5,565,870","2,782,935,000",500,원(KRW),02-2010-4500,"서울특별시 종로구 사직로 130 적선현대빌딩, 10층 10호 ",1424
273,274,060570,드림어스컴퍼니,74607,기타 전문 도매업,"56,859,847","28,429,923,500",500,원(KRW),(02)3019-1700,서울특별시 서초구  방배로18길 5 BH빌딩 ,1424
274,275,217620,디딤,95601,음식점업,"37,001,905","3,700,190,500",100,원(KRW),032-819-6870,인천광역시 남동구 논현로46번길 39-24 -,1424
275,276,187870,디바이스이엔지,32902,특수 목적용 기계 제조업,"7,036,609","3,518,304,500",500,원(KRW),041-629-5200,충청남도 아산시 음봉면 음봉로 169 ,1424
276,277,066670,디스플레이텍,32602,전자부품 제조업,"18,691,918","9,345,959,000",500,원(KRW),070-7015-3811,경기도 안성시  공단1로 10 (주)디스플레이테크,1424
277,278,110990,디아이티,32902,특수 목적용 기계 제조업,"18,900,000","1,890,000,000",100,원(KRW),031-831-7000,경기도 화성시 정남면 가장로 355-50 ,1424
278,279,263690,디알젬,32701,의료용 기기 제조업,"11,325,610","5,662,805,000",500,원(KRW),02-869-8566,경기도 광명시 하안로 60 광명테크노파크 E동 7층 &nbsp;,1424
279,280,214680,디알텍,32701,의료용 기기 제조업,"51,782,343","5,178,234,300",100,원(KRW),031-779-7400,경기도 성남시 중원구 둔촌대로541번길 29 상대원동 3층,1424
280,281,263720,디앤씨미디어,105801,"서적, 잡지 및 기타 인쇄물 출판업","12,275,111","6,137,555,500",500,원(KRW),02-333-2513,"서울특별시 구로구 디지털로26길 111, 503호(구로동, 제이앤케이디지털타워) ",1424
281,282,109740,디에스케이,32902,특수 목적용 기계 제조업,"20,354,763","10,177,381,500",500,원(KRW),031-416-9100,경기도 안산시 상록구 수인로710(사사동) -,1424
282,283,033430,디에스티,32902,특수 목적용 기계 제조업,"64,191,253","6,419,125,300",100,원(KRW),031-997-6181,경상남도 창원시 마산회원구 봉암공단9길 26 3층,1424
283,284,131030,디에이치피코리아,32102,의약품 제조업,"16,564,797","8,282,398,500",500,원(KRW),02-2027-0078,충청북도 청원군 오송읍 오송생명6로 50 (지번주소 : 충청북도 청원군 오송읍 만수리 491),1424
284,285,196490,디에이테크놀로지,32902,특수 목적용 기계 제조업,"72,864,242","36,432,121,000",500,원(KRW),031-369-8813,경기도 화성시 비봉면 쌍학길 15 (쌍학리 250-2),1424
285,286,066900,디에이피,32602,전자부품 제조업,"22,744,503","11,372,251,500",500,원(KRW),031-677-0005,경기 안성시 미양면 보체리 404-1 ,1424
286,287,127120,디엔에이링크,137001,자연과학 및 공학 연구개발업,"13,268,377","6,634,188,500",500,원(KRW),02-3153-1500,서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크,1424
287,288,092070,디엔에프,32004,기타 화학제품 제조업,"10,761,828","5,380,914,000",500,원(KRW),042-932-7939,대전광역시 대덕구  대화로132번길 142 디엔에프 ,1424
288,289,134580,디엠티,32604,통신 및 방송 장비 제조업,"11,250,000","5,625,000,000",500,원(KRW),02-3400-4600,"서울특별시 강남구 언주로 726 14층(논현동, 두산빌딩)",1424
289,290,039840,디오,32701,의료용 기기 제조업,"15,523,602","7,761,801,000",500,원(KRW),051-745-7777,부산광역시 해운대구 센텀서로 66 ,1424
290,291,196450,디오스텍,32703,사진장비 및 광학기기 제조업,"144,000,969","28,800,193,800",200,원(KRW),031-8006-0030,경기도 용인시 처인구 남사면 당하로 113-12 ,1424
291,292,104460,디와이피엔에프,32901,일반 목적용 기계 제조업,"10,713,625","5,356,812,500",500,원(KRW),02-2106-8000,"서울특별시 금천구  가산디지털1로 88 IT프리미어타워 17층, 18층",1424
292,293,079810,디이엔티,32902,특수 목적용 기계 제조업,"13,036,859","6,518,429,500",500,원(KRW),031-831-4300,경기도 오산시 가장산업서북로 40-56 -,1424
293,294,227100,디자인,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","3,226,025","1,613,012,500",500,원(KRW),02-868-0246,서울특별시 강남구 도산대로37길 17 스페이스엘빌딩 건물일체 ,1424
294,295,113810,디젠스,33003,자동차 신품 부품 제조업,"32,628,051","16,314,025,500",500,원(KRW),041-906-2100,경기도 시흥시 공단1대로27번길 38 (정왕동) ,1424
295,296,043360,디지아이,32603,컴퓨터 및 주변장치 제조업,"9,000,000","4,500,000,000",500,원(KRW),031-820-8900,경기도 양주시 청담로 52 (주)디지아이 ,1424
296,297,197140,디지캡,105802,소프트웨어 개발 및 공급업,"7,409,323","3,704,661,500",500,원(KRW),02-3477-2101,서울특별시 강서구 마곡중앙8로7길 11 &nbsp,1424
297,298,106520,디지탈옵틱,32703,사진장비 및 광학기기 제조업,"92,686,503","46,343,251,500",500,원(KRW),02-538-5370,경기도 화성시 동탄면 동탄산단2길 47 4층,1424
298,299,068930,디지털대성,168505,일반 교습 학원,"22,673,723","11,336,861,500",500,원(KRW),(02)2104-8600,서울특별시 서초구  방배로 181 단우빌딩  ,1424
299,300,033130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500",500,원(KRW),02-3701-2821,서울특별시 중구  세종대로21길 52 (태평로1가) ,1424
300,301,033310,디케이디앤아이,32509,기타 금속 가공제품 제조업,"21,972,411","10,986,205,500",500,원(KRW),02-2636-2431,서울특별시 영등포구  여의대로 14 KT빌딩 16층,1424
301,302,105740,디케이락,32901,일반 목적용 기계 제조업,"8,449,912","4,224,956,000",500,원(KRW),055-338-0114,경상남도 김해시 주촌면 골든루트로129번길 7 ,1424
302,303,263020,디케이앤디,32202,플라스틱제품 제조업,"7,763,202","3,881,601,000",500,원(KRW),031-491-6633,경기도 안산시 단원구 별망로 345 ,1424
303,304,290550,디케이티,32602,전자부품 제조업,"8,231,333","4,115,666,500",500,원(KRW),070-4324-3293,인천광역시 부평구 안남로418번길 10 5층 ,1424
304,305,187220,디티앤씨,137209,기타 과학기술 서비스업,"10,951,507","5,475,753,500",500,원(KRW),031-329-3411,경기도 용인시 처인구 유림로154번길 42 ,1424
305,306,131180,딜리,32603,컴퓨터 및 주변장치 제조업,"29,350,000","2,935,000,000",100,원(KRW),031-860-5500,경기도 동두천시 강변로702번길 30 ,1424
306,307,317120,라닉스,32601,반도체 제조업,"9,435,500","4,794,670,000",500,원(KRW),02-584-5516,서울특별시 강남구 언주로135길 25 (논현동) ,1424
307,308,042510,라온시큐어,105802,소프트웨어 개발 및 공급업,"31,809,612","15,904,806,000",500,원(KRW),02-561-4545,"서울특별시 강남구 테헤란로 145 역삼동, 우신빌딩 11, 12, 13층 ",1424
308,309,300120,라온피플,105802,소프트웨어 개발 및 공급업,"10,328,456","5,164,228,000",500,원(KRW),1899-3058,경기도 성남시 분당구 판교로 723 분당테크노파크B동 402-1호 &nbsp,1424
309,310,036170,라이브파이낸셜,32601,반도체 제조업,"45,121,437","45,121,437,000","1,000",원(KRW),031 -205 -5300,경기도 수원시 영통구 신원로 170 (신동) ,1424
310,311,050120,라이브플렉스,74604,생활용품 도매업,"135,640,864","69,092,015,500",500,원(KRW),02-3446-4875,서울특별시 강남구 언주로 702 8층 (논현동),1424
311,312,171120,라이온켐텍,32004,기타 화학제품 제조업,"18,893,576","9,446,788,000",500,원(KRW),042-930-3300,대전 대덕구 문평동 41-5 ,1424
312,313,069540,라이트론,32604,통신 및 방송 장비 제조업,"18,553,773","9,276,886,500",500,원(KRW),(042)930-7700,대전광역시 대덕구  문평동로 68 (주)빛과전자 ,1424
313,314,214260,라파스,32004,기타 화학제품 제조업,"8,389,416","4,194,708,000",500,원(KRW),02-392-3011,서울특별시 강서구 마곡중앙8로1길 62 라파스 &nbsp;,1424
314,315,171010,램테크놀러지,32001,기초 화학물질 제조업,"11,606,968","5,803,484,000",500,원(KRW),031-323-1119,경기도 용인시 처인구  양지면 주북로 285 ,1424
315,316,084650,랩지노믹스,137001,자연과학 및 공학 연구개발업,"11,217,860","5,608,930,000",500,원(KRW),031-628-0702,경기도 성남시 분당구 대왕판교로 700 (삼평동) 6층 ,1424
316,317,217500,러셀,32902,특수 목적용 기계 제조업,"31,812,000","3,181,200,000",100,원(KRW),043-532-8818,충청북도 청주시 흥덕구 옥산면 옥산산단로 36 (호죽리),1424
317,318,033600,럭슬,33003,자동차 신품 부품 제조업,"40,828,103","20,414,051,500",500,원(KRW),031 -660 -9900,경기도 평택시  산단로 255 ,1424
318,319,141080,레고켐바이오,137001,자연과학 및 공학 연구개발업,"23,683,806","11,841,903,000",500,원(KRW),042-861-0688,대전광역시 대덕구 문평서로 8-26(문평동),1424
319,320,060300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","66,855,495","33,427,747,500",500,원(KRW),031-5171-3800,경기도 광주시 초월읍 현산로 343 - ,1424
320,321,038390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000",500,원(KRW),02-2001-4500,서울특별시 중구 을지로 100파인에비뉴 B동 19층 ,1424
321,322,294140,레몬,32005,화학섬유 제조업,"34,500,000","17,250,000,000",500,원(KRW),054-470-8800,경상북도 구미시 산동면 산호대로 1105-65 ,1424
322,323,228670,레이,32701,의료용 기기 제조업,"6,653,267","3,326,633,500",500,원(KRW),031-605-1000,경기도 화성시 삼성1로 332-7 ,1424
323,324,228850,레이언스,32701,의료용 기기 제조업,"16,591,014","8,295,507,000",500,원(KRW),031-8015-6277,경기도 화성시 삼성1로1길 14 &nbsp,1424
324,325,281740,레이크머티리얼즈,32004,기타 화학제품 제조업,"65,730,548","6,573,054,800",100,원(KRW),044-414-9400,세종특별자치시  전의면 산단길 22-144 -,1424
325,326,238120,로고스바이오,32703,사진장비 및 광학기기 제조업,"3,594,724","1,797,362,000",500,원(KRW),031-478-4185,"경기도 안양시 동안구 시민대로327번길 28 (관양동) 2층,3층 ",1424
326,327,215100,로보로보,32809,기타 전기장비 제조업,"17,798,454","1,779,845,400",100,원(KRW),02-909-5050,서울특별시 강북구 도봉로54길 6 로보로보빌딩(미아동),1424
327,328,090360,로보스타,32902,특수 목적용 기계 제조업,"9,750,000","4,875,000,000",500,원(KRW),031-400-3600,경기도 안산시 상록구  수인로 700 ,1424
328,329,108490,로보티즈,32902,특수 목적용 기계 제조업,"11,251,000","5,625,500,000",500,원(KRW),070-8671-2600,서울특별시 강서구 마곡중앙5로1길 37 &nbsp,1424
330,331,067730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","9,340,922","4,670,461,000",500,원(KRW),02-2125-6300,서울특별시 마포구 독막로 281 &nbsp,1424
331,332,071280,로체시스템즈,32902,특수 목적용 기계 제조업,"15,296,603","7,648,301,500",500,원(KRW),(031)335-9100,경기도 용인시 처인구  경안천로 364 로체시스템즈(주),1424
332,333,038060,루멘스,32601,반도체 제조업,"47,718,750","23,859,375,000",500,원(KRW),031-8033-2000,경기도 용인시 기흥구 원고매로 12 ,1424
333,334,082800,루미마이크로,32601,반도체 제조업,"132,805,733","66,402,866,500",500,원(KRW),031-213-9200,경기도 용인시 처인구 남사면 봉무로 309 ,1424
334,335,085370,루트로닉,32701,의료용 기기 제조업,"25,627,401","13,175,544,000",500,원(KRW),031-926-7114,경기도 고양시 덕양구 소원로 219 ,1424
335,336,060240,룽투코리아,105802,소프트웨어 개발 및 공급업,"25,429,284","13,064,642,000",500,원(KRW),031-8068-6602,"경기도 안양시 동안구 부림로 170 41-13(관양동 1736-1), 4층 ",1424
336,337,058470,리노공업,32602,전자부품 제조업,"15,242,370","7,621,185,000",500,원(KRW),051-831-3232,부산광역시 강서구 미음산단로105번길 10 ,1424
337,338,039980,리노스,74704,"섬유, 의복, 신발 및 가죽제품 소매업","41,540,606","20,770,303,000",500,원(KRW),(02)3489-6800,"서울특별시 서초구 서운로 19 (서초동, 서초월드오피스텔) 4층 ",1424
338,339,019570,리더스 기술투자,116402,신탁업 및 집합투자업,"77,634,480","38,817,240,000",500,원(KRW),02-2051-9640,"서울특별시 강남구 테헤란로4길 14 미림타워 13층(역삼동,미림타워) ",1424
339,340,016100,리더스코스메틱,32004,기타 화학제품 제조업,"18,187,414","9,093,707,000",500,원(KRW),02-3453-8768,서울특별시 광진구 능동로 90 더클래식 500 씨 404호 ,1424
340,341,012700,리드코프,74607,기타 전문 도매업,"26,446,135","13,777,741,000",500,원(KRW),02  -2126-5000,서울특별시 영등포구  은행로 25 안원빌딩 6층 ,1424
341,342,302550,리메드,32701,의료용 기기 제조업,"6,088,916","3,044,458,000",500,원(KRW),042-934-5560,대전광역시 유성구 테크노2로 187 미건테크노월드2차 301호~303호,1424
342,343,277070,린드먼아시아,116402,신탁업 및 집합투자업,"13,500,000","6,750,000,000",500,원(KRW),070-7019-4006,"서울특별시 강남구 테헤란로 234, 4층(역삼동, 삼익빌딩) &nbsp",1424
343,344,042500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","15,216,878","7,608,439,000",500,원(KRW),02-6675-1251,"서울특별시 구로구 디지털로33길 27 409호 (구로동, 삼성IT밸리 4층) ",1424
344,345,219420,링크제니시스,105802,소프트웨어 개발 및 공급업,"10,000,000","1,000,000,000",100,원(KRW),031-422-3581,"경기도 안양시 동안구 시민대로 401, 319호(관양동, 대륭테크노타운15차) &nbsp",1424
345,346,195500,마니커에프앤지,31001,"도축, 육류 가공 및 저장 처리업","10,768,000","5,384,000,000",500,원(KRW),031-899-1114,경기도 용인시 처인구 이동면 백옥대로144번길 36-2 &nbsp,1424
346,347,305090,마이크로디지탈,32701,의료용 기기 제조업,"7,261,600","3,630,800,000",500,원(KRW),031-701-2225,경기도 성남시 분당구 판교로228번길 15 제윈스동 701호,1424
347,348,098120,마이크로컨텍솔,32602,전자부품 제조업,"8,312,766","4,156,383,000",500,원(KRW),041-621-4331,충청남도 천안시 서북구 성거읍 오송2길 15-21 ,1424
348,349,227950,마이크로텍,32902,특수 목적용 기계 제조업,"39,896,331","3,989,633,100",100,원(KRW),02-3779-3129,경기도 안성시 원곡면 원당로 157 -,1424
349,350,147760,마이크로프랜드,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","10,819,866","5,409,933,000",500,원(KRW),02-944-6400,"서울특별시 노원구 공릉로 232, 10층(공릉동, 서울테크노파크) ",1424
350,351,169330,마크로밀엠브레인,137104,시장조사 및 여론조사업,"8,968,459","4,484,229,500",500,원(KRW),02-3444-4000,서울특별시 강남구 강남대로 318 ,1424
351,352,038290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,611,654","5,305,827,000",500,원(KRW),02-2113-7000,서울특별시 금천구  벚꽃로 254 월드메르디앙1차 ,1424
352,353,267980,매일유업,31005,낙농제품 및 식용빙과류 제조업,"7,843,638","3,921,819,000",500,원(KRW),02-2117-2113,서울특별시 종로구 종로1길 50 &nbsp,1424
353,354,005990,매일홀딩스,31005,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000",500,원(KRW),02-2127-2113,서울시 종로구 종로1길 50 더케이트윈타워A동 ,1424
354,355,127160,매직마이크로,32602,전자부품 제조업,"64,669,972","6,466,997,200",100,원(KRW),070-8680-3792,경기도 안산시 단원구 성곡로 208 다동 5호,1424
355,356,093520,매커스,74605,기계장비 및 관련 물품 도매업,"16,163,092","8,081,546,000",500,원(KRW),02-3490-9500,서울특별시 강남구 봉은사로44길 73 ,1424
356,357,141070,맥스로텍,32902,특수 목적용 기계 제조업,"31,621,050","15,810,525,000",500,원(KRW),053-584-6540,대구광역시 달서구 성서로71길 40 - ,1424
357,358,100590,머큐리,32604,통신 및 방송 장비 제조업,"14,763,600","7,381,800,000",500,원(KRW),032-580-3114,인천광역시 서구 가재울로 90 ,1424
358,359,067280,멀티캠퍼스,168506,기타 교육기관,"5,926,779","2,963,389,500",500,원(KRW),02-6262-9114,서울특별시 강남구 언주로 508 서울상록회관 17층,1424
359,360,072870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업","11,920,959","5,960,479,500",500,원(KRW),02-6984-6814,"서울특별시 서초구 효령로 304 24층(서초동, 국제전자센터) ",1424
360,361,215200,메가스터디교육,168505,일반 교습 학원,"11,821,880","1,182,188,000",100,원(KRW),02-3489-8200,서울특별시 서초구 효령로 321 덕원빌딩 &nbsp,1424
361,362,133750,메가엠디,168505,일반 교습 학원,"23,097,077","11,548,538,500",500,원(KRW),02-3489-8346,서울특별시 서초구 효령로 321 ,1424
362,363,235980,메드팩토,137001,자연과학 및 공학 연구개발업,"20,334,842","10,167,421,000",500,원(KRW),02-6938-0200,"서울특별시 서초구 명달로 92, 보림빌딩 ",1424
363,364,041920,메디아나,32701,의료용 기기 제조업,"8,650,496","4,325,248,000",500,원(KRW),033-742-5400,강원도 원주시 문막읍 동화공단로 132 ,1424
364,365,014100,메디앙스,32004,기타 화학제품 제조업,"11,800,000","5,900,000,000",500,원(KRW),02-6283-6790,서울특별시 강남구 논현로64길 4 5층~6층,1424
365,366,086900,메디톡스,32101,기초 의약물질 및 생물학적 제제 제조업,"5,977,449","2,988,724,500",500,원(KRW),043-217-1555,충청북도 청원군  오창읍 각리1길 78 (주)메디톡스,1424
366,367,047920,메디포럼제약,137001,자연과학 및 공학 연구개발업,"14,042,872","7,021,436,000",500,원(KRW),031-557-0001,경기도 남양주시 경강로 27 ,1424
367,368,078160,메디포스트,32101,기초 의약물질 및 생물학적 제제 제조업,"15,617,842","7,808,921,000",500,원(KRW),02-3465-6677,경기도 성남시 분당구 대왕판교로 644번길21 -,1424
368,369,065650,메디프론,74605,기계장비 및 관련 물품 도매업,"37,199,870","18,599,935,000",500,원(KRW),02-545-9277,"서울특별시 금천구 가산디지털1로 186 제에이동 제5층 제517호(가산동, 제이플라츠) ",1424
370,371,140410,메지온,137001,자연과학 및 공학 연구개발업,"8,705,952","4,352,976,000",500,원(KRW),02-560-8000,서울특별시 강남구  테헤란로87길 35 씨엔드에치빌딩 3층,1424
371,372,241770,메카로,32004,기타 화학제품 제조업,"10,102,240","5,301,120,000",500,원(KRW),031-646-4400,경기도 평택시 산단로121번길 89 (주)메카로 ,1424
372,373,059210,메타바이오메드,32103,의료용품 및 기타 의약 관련제품 제조업,"23,862,351","11,931,175,500",500,원(KRW),043-218-1981,충청북도 청주시 흥덕구  오송읍 오송생명1로 270 ,1424
373,374,327260,메탈라이프,32602,전자부품 제조업,"3,596,588","1,798,294,000",500,원(KRW),031-499-2817,"경기도 안산시 단원구 강촌로 213, 215(목내동) .",1424
374,375,058110,멕아이씨에스,32701,의료용 기기 제조업,"6,649,682","3,324,841,000",500,원(KRW),070-7119-2500,경기도 파주시 상지석길 21 ,1424
375,376,096640,멜파스,32602,전자부품 제조업,"29,094,696","14,547,348,000",500,원(KRW),031-707-2280,경기도 성남시 분당구 판교역로 225-14 ,1424
376,377,257370,명성티엔에스,32902,특수 목적용 기계 제조업,"6,370,000","3,185,000,000",500,원(KRW),053-582-3577,대구광역시 달서구 성서공단로25길 16 &nbsp,1424
377,378,080420,모다이노칩,74704,"섬유, 의복, 신발 및 가죽제품 소매업","79,721,622","39,860,811,000",500,원(KRW),031-315-7250,경기도 안산시 단원구  동산로27번길 42-7 이노칩테크놀러지(주) ,1424
378,379,080160,모두투어,147502,여행사 및 기타 여행보조 서비스업,"18,900,000","9,450,000,000",500,원(KRW),02-728-8000,서울특별시 중구  을지로 16 프레지던트호텔 5층 모두투어네트워크,1424
379,380,100030,모바일리더,105802,소프트웨어 개발 및 공급업,"3,283,714","1,641,857,000",500,원(KRW),02-2051-4151,서울특별시 강남구 테헤란로 131 16층 ,1424
380,381,087260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업,"30,000,000","15,000,000,000",500,원(KRW),031-421-8071,경기도 안양시 동안구 시민대로 401 ,1424
381,382,101330,모베이스,32604,통신 및 방송 장비 제조업,"23,958,188","11,979,094,000",500,원(KRW),032-529-4200,경기도 화성시 동탄첨단산업1로 73 (영천동) ,1424
382,383,012860,모베이스전자,33003,자동차 신품 부품 제조업,"52,000,000","26,000,000,000",500,원(KRW),031-5174-3000,경기도 수원시 권선구 산업로156번길 100 (고색동) ,1424
383,384,250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","32,171,314","3,217,131,400",100,원(KRW),02-3771-3423,경기도 성남시 분당구 판교로 253 이노밸리C동 2층 203호,1424
384,385,033200,모아텍,32602,전자부품 제조업,"14,331,185","7,665,592,500",500,원(KRW),032-810-9000,인천광역시 남동구  인주대로 698 (주)모아텍 ,1424
385,386,118990,모트렉스,33003,자동차 신품 부품 제조업,"37,336,531","3,733,653,100",100,원(KRW),070-4862-6100,경기도 성남시 분당구 황새울로258번길 25 서영빌딩 12층 ,1424
386,387,006920,모헨즈,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000",500,원(KRW),02  -571 -3011,충남 충남시 풍세면 남관리 195 ,1424
387,388,001810,무림SP,31701,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000",500,원(KRW),02  -3485-1603,서울특별시 강남구  강남대로 656 (신사동) ,1424
388,389,279600,미디어젠,105802,소프트웨어 개발 및 공급업,"4,638,281","2,319,140,500",500,원(KRW),02-6429-7171,경기도 성남시 분당구 성남대로331번길 8 킨스타워(정자동) 11층 1103호실 ,1424
389,390,028040,미래SCI,74601,상품 중개업,"44,979,502","22,489,751,000",500,원(KRW),043-710-0112,충북 청원군 옥산면 남촌리 1108-3 ,1424
390,391,095500,미래나노텍,32202,플라스틱제품 제조업,"24,580,982","12,290,491,000",500,원(KRW),043-710-1100,충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주),1424
391,392,218150,미래생명자원,31008,동물용 사료 및 조제식품 제조업,"18,671,428","1,867,142,800",100,원(KRW),02-2203-7397,"서울특별시 송파구 법원로9길 26 D동 506 ~ 512호(문정동, H business PARK)",1424
392,393,328380,미래에셋대우스팩3호,116601,금융 지원 서비스업,"6,482,000","648,200,000",100,원(KRW),02-3774-8388,"서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워) &nbsp;",1424
393,394,333430,미래에셋대우스팩4호,116601,금융 지원 서비스업,"4,390,000","439,000,000",100,원(KRW),02-3774-3762,"서울특별시 중구 을지로5길 26(수하동, 미래에셋센터원 이스트타워) ",1424
395,396,049950,미래컴퍼니,32902,특수 목적용 기계 제조업,"8,362,306","4,181,153,000",500,원(KRW),(031)350-9801,경기도 화성시  양감면 정문송산로 69-12 ,1424
396,397,213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업,"6,120,788","3,060,394,000",500,원(KRW),070-8890-1537,서울특별시 구로구 디지털로26길 123 지플러스코오롱디지털타워 907호,1424
397,398,207760,미스터블루,106309,기타 정보 서비스업,"24,515,004","2,451,500,400",100,원(KRW),02-337-0610,"서울특별시 마포구 월드컵북로6길 18 (동교동, 미스터블루빌딩)",1424
398,399,059090,미코,32601,반도체 제조업,"31,316,603","15,658,301,500",500,원(KRW),031-610-7967,경기도 안성시 대덕면 모산로 53 - ,1424
399,400,201490,미투온,105802,소프트웨어 개발 및 공급업,"31,257,770","15,628,885,000",500,원(KRW),02-515-2864,서울특별시 강남구 학동로 343 더피나클강남 6층 ,1424
400,401,214180,민앤지,106309,기타 정보 서비스업,"12,362,476","6,341,238,000",500,원(KRW),02-929-4463,서울특별시 강남구 테헤란로34길 6 태광타워 13층 ,1424
401,402,206640,바디텍메드,32103,의료용품 및 기타 의약 관련제품 제조업,"23,477,551","23,477,551,000","1,000",원(KRW),02-2004-4938,강원도 춘천시 동내면 거두단지1길 43 -,1424
402,403,018700,바른손,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","29,471,487","29,471,487,000","1,000",원(KRW),02  -596-4411,"경기도 수원시 영통구 대학3로 1 5층 (이의동, 광교K타워)",1424
403,404,035620,바른손이앤에이,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","73,473,503","36,736,751,500",500,원(KRW),070-7609-1404,서울특별시 용산구 한남대로 130 볼보빌딩 3층 ,1424
404,405,064520,바른전자,32601,반도체 제조업,"73,686,477","36,843,238,500",500,원(KRW),031-8020-6000,경기도 화성시  동탄면 경기동로 548 ,1424
